"elev_kon";"vitsord_ma";"vitsord_mo";"utb_pabygg_mamma";"utb_pabygg_pappa";"medievanor1";"medievanor2";"medievanor3";"hur_ofta_lasbarn1";"hur_ofta_lasbarn2";"hur_ofta_lasbarn3";"hur_ofta_lasbarn5";"hur_garna_lasbarn1";"hur_garna_lasbarn2";"hur_garna_lasbarn3";"hur_garna_lasbarn5";"dist";"imp";"moto";"rikt";"uppr";"skif";"efig";"efpl";"efutf";"efutv"
"Flicka";8;8;4;2;NA;NA;1;4;4;4;2;6;6;6;4;0;0;0;0;0;0;0;0;0;0
"Flicka";9;8;4;2;3;1;1;4;1;4;2;5;0;7;7;0;0;0;0;0;0;2;0;1;0
"Flicka";8;9;2;2;4;2;2;3;1;4;3;5;5;6;7;0;0;0;1;1;0;0;0;0;0
"Flicka";7;7;4;5;2;4;3;4;3;3;1;3;3;3;2;3;4;1;6;4;0;3;2;2;0
"Pojke";8;7;1;1;3;3;2;4;2;1;2;2;2;2;3;0;0;0;0;0;0;0;0;0;0
"Flicka";8;8;NA;4;3;3;3;4;4;4;2;4;4;7;5;2;5;3;3;0;0;1;1;4;0
"Pojke";9;8;4;1;2;4;2;4;3;2;1;5;6;2;1;2;2;1;0;0;0;1;1;4;1
"Pojke";9;8;5;3;3;3;3;3;3;3;2;4;4;3;4;0;0;0;0;0;0;0;0;0;1
"Flicka";7;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;1;5;0;1;0;0;1;0
"Flicka";8;7;4;NA;3;3;3;2;2;2;2;0;0;0;0;3;0;1;0;0;0;0;0;1;0
"Flicka";8;9;4;2;2;3;3;5;4;5;4;4;4;5;5;0;0;0;0;0;0;0;0;0;0
"Flicka";10;10;2;5;2;4;3;5;5;4;4;6;6;7;7;0;0;0;0;0;0;0;0;0;0
"Flicka";NA;NA;4;2;4;1;2;4;1;3;1;5;3;5;NA;0;0;0;0;0;0;0;0;0;0
"Pojke";NA;NA;2;2;2;1;NA;4;1;2;1;5;NA;5;2;1;0;0;0;0;0;2;1;1;0
"Flicka";NA;NA;5;3;5;4;1;4;1;4;2;4;0;4;3;0;0;0;0;0;0;2;0;0;0
