"elev_kon";"vitsord_ma";"vitsord_mo";"utb_pabygg_mamma";"utb_pabygg_pappa";"medievanor1";"medievanor2";"medievanor3";"hur_ofta_lasbarn1";"hur_ofta_lasbarn2";"hur_ofta_lasbarn3";"hur_ofta_lasbarn4";"hur_ofta_lasbarn5";"hur_ofta_lasbarn6";"hur_ofta_lasbarn7";"hur_garna_lasbarn1";"hur_garna_lasbarn2";"hur_garna_lasbarn3";"hur_garna_lasbarn4";"hur_garna_lasbarn5";"hur_garna_lasbarn6";"hur_garna_lasbarn7";"dist";"imp";"uppr";"moto";"rikt";"skif";"efig";"efpl";"efutf";"efutv";"attention"
"Flicka";9;8;4;2;3;1;1;4;1;4;1;2;1;1;5;0;7;0;7;0;0;0;0;0;0;0;0;2;0;1;0;3
"Flicka";8;9;2;2;4;2;2;3;1;4;2;3;2;1;5;5;6;6;7;4;3;0;0;1;0;1;0;0;0;0;0;2
"Flicka";7;7;4;5;2;4;3;4;3;3;2;1;1;1;3;3;3;2;2;1;1;3;4;4;1;6;0;3;2;2;0;25
"Pojke";8;7;1;1;3;3;2;4;2;1;1;2;1;2;2;2;2;3;3;2;2;0;0;0;0;0;0;0;0;0;0;0
"Pojke";9;8;4;1;2;4;2;4;3;2;1;1;1;1;5;6;2;2;1;1;1;2;2;0;1;0;0;1;1;4;1;12
"Pojke";9;8;5;3;3;3;3;3;3;3;2;2;2;2;4;4;3;3;4;3;1;0;0;0;0;0;0;0;0;0;1;1
"Flicka";8;9;4;2;2;3;3;5;4;5;4;4;3;5;4;4;5;5;5;5;5;0;0;0;0;0;0;0;0;0;0;0
"Flicka";10;10;2;5;2;4;3;5;5;4;4;4;5;5;6;6;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;0
"Pojke";7;7;5;3;3;2;2;3;3;2;2;1;1;1;5;5;3;4;2;0;0;2;0;2;2;1;0;0;0;2;0;9
"Flicka";8;8;5;4;3;4;2;3;4;5;2;1;4;6;7;7;7;5;3;7;7;1;2;0;0;0;0;0;0;1;0;4
"Pojke";7;7;6;3;3;4;4;5;3;4;5;1;2;6;6;5;5;5;2;4;5;4;3;2;2;4;2;1;1;1;1;21
"Pojke";8;7;4;4;2;2;2;4;1;1;1;1;1;1;6;0;4;0;1;1;1;0;0;1;0;1;0;2;0;1;0;5
"Pojke";9;9;5;5;2;2;4;5;1;3;1;1;1;2;6;0;4;0;0;0;4;0;5;0;2;0;0;0;0;0;1;8
"Flicka";9;8;3;4;2;2;3;4;2;4;1;2;1;1;7;0;7;4;4;3;3;0;0;0;0;0;0;0;0;0;0;0
"Flicka";9;9;4;2;4;3;3;3;4;4;2;2;2;3;7;7;7;5;7;6;7;0;0;0;0;0;0;0;0;0;0;0
"Flicka";9;9;5;4;3;3;4;4;4;5;2;1;2;2;6;6;7;7;3;4;7;0;0;0;0;0;0;0;0;0;0;0
"Pojke";8;8;5;4;2;6;6;2;4;2;1;4;2;6;4;4;4;3;6;3;7;0;0;0;0;0;0;0;0;0;0;0
"Flicka";9;8;1;4;2;2;1;4;4;1;2;2;3;2;4;4;3;3;3;3;3;2;3;0;0;0;0;0;0;2;0;7
"Flicka";8;8;5;2;2;2;2;4;3;2;1;3;2;1;5;6;5;3;7;3;2;2;2;1;0;1;1;1;0;1;0;9
"Flicka";10;9;5;6;3;3;2;2;3;5;4;1;3;2;4;4;7;7;0;7;7;0;0;0;0;0;0;0;0;0;0;0
"Pojke";10;9;4;5;2;2;3;2;3;3;3;2;3;1;7;7;5;4;6;6;2;0;0;0;0;0;0;0;0;0;0;0
"Flicka";8;8;4;3;5;2;3;3;2;5;1;4;4;1;5;7;6;2;6;5;2;0;1;0;1;0;0;0;0;0;0;2
"Flicka";9;8;4;2;3;3;2;4;4;3;2;5;4;3;5;5;6;6;6;4;3;0;0;0;0;0;0;0;0;0;0;0
"Pojke";9;7;4;3;2;2;3;2;3;2;2;3;3;2;6;6;4;6;7;7;6;3;8;0;4;1;0;1;0;0;2;19
"Flicka";8;8;3;2;4;2;2;3;1;5;2;2;1;1;7;7;7;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0
"Flicka";9;8;4;4;3;3;2;5;4;3;2;2;1;1;5;5;4;3;2;2;0;0;0;0;0;0;0;0;0;0;0;0
"Flicka";9;8;2;1;5;5;4;4;5;4;2;2;2;3;7;7;5;3;4;4;4;1;2;0;0;1;0;0;0;0;0;4
